3662502866720000001,"11 310 840,18 ",14.01.2020,31.12.2020,Электронный аукцион,УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И СТРОИТЕЛЬСТВА ГОРОДСКОГО ОКРУГА ПЕРВОУРАЛЬСК,"АКЦИОНЕРНОЕ ОБЩЕСТВО""ГОРЭЛЕКТРОСЕТЬ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО""ГОРЭЛЕКТРОСЕТЬ"")",6625028667,6625004521,01.01.2012,"['623113, ОБЛ СВЕРДЛОВСКАЯ 66, Г ПЕРВОУРАЛЬСК, УЛ СТАХОВА, 2А']",7-3439-642431,info@zao-ges.ru,33.14.19.000,Услуги по ремонту и техническому обслуживанию прочего профессионального электрического оборудования
3662602105421000035,"1 445 635,87 ",28.06.2021,30.01.2022,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СОЦИАЛЬНО-КОММУНАЛЬНЫХ УСЛУГ"" ПОЛЕВСКОГО ГОРОДСКОГО ОКРУГА","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-КАРТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-КАРТ"")",6626021054,7743529527,14.01.2019,"['119071, Г МОСКВА 77, УЛ МАЛАЯ КАЛУЖСКАЯ, ДОМ 15, КАБИНЕТ 105 Б ЭТАЖ 1']",7-347-2699489,info-ekat@rnс.rosneft.ru,,1
3662305565820000008,"19 232 493,57 ",10.03.2020,31.12.2020,"Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ЗАКАЗЧИКА ГОРОДСКОГО ХОЗЯЙСТВА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖКХ СЕРВИС""",6623055658,6623038892,11.04.2007,"['622015, Российская Федерация,  ОБЛ СВЕРДЛОВСКАЯ,  Г НИЖНИЙ ТАГИЛ,  УЛ КРЫМСКАЯ,  29, 38']",79222207243,gkhservisnt@mail.ru,43.99.90.190,"Выполнение работ по объекту: ""Капитальный ремонт муниципальных помещений в многоквартирном доме по адресу: г. Нижний Тагил, ул. Гвардейская, д.23"""
3663100944717000031,"27 084 978,44 ",06.09.2017,31.12.2018,Электронный аукцион,"МУНИЦИПАЛЬНОЕ  КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"" ИВДЕЛЬСКОГО ГОРОДСКОГО ОКРУГА","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ БИЛДИНГ"" (ООО ""СБ"")",6631009447,6670381377,23.07.2012,"['620075, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул КЛАРЫ ЦЕТКИН, 1, ОФ.7']",7-34336-16811,mu-ugkh@rambler.ru,42.21.23.000,Газоснабжения
3661200209019000023,"3 804 119,00 ",04.10.2019,09.12.2019,Электронный аукцион,"ОРГАН МЕСТНОГО САМОУПРАВЛЕНИЯ ""УПРАВЛЕНИЕ ОБРАЗОВАНИЯ ГОРОДА КАМЕНСКА-УРАЛЬСКОГО""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНАЛЬНЫЙ СИСТЕМНЫЙ ИНТЕГРАТОР"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНАЛЬНЫЙ СИСТЕМНЫЙ ИНТЕГРАТОР"")",6612002090,6686072529,06.11.2015,"['620012, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, БУЛ. КУЛЬТУРЫ, ДОМ 2']",7-343-3510511,vva@rsi-rf.ru,58.11.14.000,"Словари, справочники, энциклопедии языковые и литературоведческие для учителей и учеников 9-11 классов"
1668609305320000126,"51 982 535,83 ",25.12.2020,30.06.2021,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УРАЛЬСКИЙ ЦЕНТР МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО ОБЕСПЕЧЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-КАРТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-КАРТ"")",,7743529527,14.01.2019,"['119071, Г МОСКВА 77, УЛ МАЛАЯ КАЛУЖСКАЯ, ДОМ 15, КАБИНЕТ 105 Б ЭТАЖ 1']",7-343-2721418,info-ekat@rnc.roseft.ru,19.20.21.300,1
1664700024921000002,"14 795 277,25 ",25.01.2021,30.12.2022,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 54 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (АО ""ЭНЕРГОСБЫТ ПЛЮС"")",6647000249,5612042824,22.05.2014,"['143421 Московская область, г.о. Красногорск,  тер. Автодорога Балтия, км 26-й, д. 5, стр.3, офис 513.']",8-800600-0390,ekb@esplus.ru,35.12.10.110,1
3662101038717000006,"1 170 000,00 ",29.05.2017,31.12.2017,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ - ДЕТСКИЙ ОЗДОРОВИТЕЛЬНЫЙ ЛАГЕРЬ ""ВОЛНА""","""Водоканалрегион"" (ООО ""ВР"")",6621010387,6673111957,13.05.2004,"['620012, ул. Машиностроителей, 19, оф.498/18']",73432788618,vodokanalregion@yandex.ru,37.00.12.110,"Сбор, вывоз и размещение на очистных сооружениях жидких бытовых отходов из Муниципального бюджетного учреждения - Детского оздоровительного лагеря ""Волна"" Ленинского района города Екатеринбурга"
3661100132020000052,"18 264 859,80 ",13.07.2020,31.12.2020,Электронный аукцион,"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ИРБИТ"" СВЕРДЛОВСКОЙ ОБЛАСТИ",МАНУКЯН ХАЧАТУР АЛЬБЕРТОВИЧИндивидуальный предприниматель,6611001320,661403320835,29.06.2004,"['624930, Свердловская область, г. Карпинск, ул. Мира, д.51, кв.']",7-343-8334603,IPMHA@yandex.ru,42.99.22.120,1
3662305565819000064,"1 140 660,00 ",27.08.2019,31.12.2019,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ЗАКАЗЧИКА ГОРОДСКОГО ХОЗЯЙСТВА""","НИЖНЕТАГИЛЬСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРЭНЕРГО-НТ"" (НИЖНЕТАГИЛЬСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРЭНЕРГО-НТ"")",6623055658,6623090236,23.11.2012,"['622002, ОБЛ СВЕРДЛОВСКАЯ 66, Г НИЖНИЙ ТАГИЛ, УЛ ЧЕРНЫХ, ДОМ 19']",7-912-6019542,ge_nt@mail.ru,43.22.11.110,"Ремонт участка теплотрассы в районе улицы Патона, дом 6 города Нижний Тагил"
2666100219916000509,"2 962 123,58 ",20.06.2016,31.12.2016,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ  СВЕРДЛОВСКОЙ ОБЛАСТИ ""ОБЛАСТНАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №1""",Закрытое акционерное общество “Фирма ЕВРОСЕРВИС”,6661002199,7731241639,28.08.1996,"['РФ, 142717, Московская область, Ленинский муниципальный район,', 'Сельское поселение Развилковское, поселок Развилка, квартал 1, владение7.']",7-495-7894619,savvina@euro-service.ru,21.20.10.259,"МНН «Порактант альфа» суспензия для эндотрахеального введения 80 мг/мл –1,5 мл №1"
3660400360817000053,"2 440 861,08 ",15.06.2017,30.06.2017,Электронный аукцион,АДМИНИСТРАЦИЯ БЕРЕЗОВСКОГО ГОРОДСКОГО ОКРУГА,"Общество с ограниченной ответственностью ""БРОЗЭКС-Инвест""",6604003608,6678017468,01.09.2011,"['623703, Свердловская область, город Березовский, Первомайский поселок, 24']",8-922-0214143,develop@brozex.com,68.10.11.000,Приобретение в муниципальную собственность жилых помещений в многоквартирных домах в городе Березовском для переселения граждан из аварийного жилого фонда - 28
1666101464516000314,"1 129 772,40 ",05.09.2016,30.12.2016,Электронный аукцион,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УРАЛЬСКОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""","Открытое акционерное общество ""Курганский машиностроительный завод""",6661014645,4501008142,05.12.2002,"['640027, РФ, г. Курган, пр. Машиностроителей 17']",7-3522-232083,kmz@tplants.com,30.40.10.190,кран
3662702008519000064,"1 528 247,31 ",01.10.2019,20.12.2019,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОРОДСКИМ ХОЗЯЙСТВОМ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОПРОФ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОПРОФ"")",6627020085,6684013133,31.01.2014,"['623270, ОБЛ СВЕРДЛОВСКАЯ 66, Г ДЕГТЯРСК, УЛ КАЛИНИНА, 31, 30']",7-902-2677774,ekoprofd@mail.ru,81.29.19.000,"Услуги по чистке и уборке прочие, не включенные в другие группировки"
1666401405816000003,"1 997 067,15 ",29.10.2016,30.11.2016,Электронный аукцион,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""СВЕРДЛОВСКАЯ СЕЛЕКЦИОННАЯ СТАНЦИЯ САДОВОДСТВА ВСЕРОССИЙСКОГО СЕЛЕКЦИОННО-ТЕХНОЛОГИЧЕСКОГО ИНСТИТУТА САДОВОДСТВА И ПИТОМНИКОВОДСТВА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕМТЕК"" (ООО ""Ремтек"")",6664014058,6662124915,17.05.2006,"['620041, г. Екатеринбург, г. Екатеринбург, ул. Солнечная, 29']",7-343-2281516,remtek@mail.ru,41.20.40.000,"Выполнение работ по проведению капитального ремонта недвижимого имущества: административно-складского здания по адресу Свердловская область, г. Екатеринбург, ул. Щербакова, д. 147, литера А"
2666001041518000021,"17 649 027,00 ",29.01.2018,01.04.2018,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"Публичное акционерное общество ""Фармацевтический импорт, экспорт""",6660010415,7710106212,30.12.1993,"['125009, Российская Федерация, г. Москва, Б.Дмитровка, 7/5, стр. 5']",7-495-6927285,tender@pharmimex.com,21.20.10.118,"АГАЛСИДАЗА АЛЬФА	Реплагал®	концентрат для приготовления раствора для инфузий 1 мг/мл фл. 3,5 мл №1		Регистрационное удостоверение выдано: Шайер Хьюман Дженетик Терапис Инк., США Производство готовой лекарственной формы: Веттер Фарма-Фертигунг ГмбХ и о. КГ, Германия Первичная упаковка: Веттер Фарма- ..."
2667422224021000043,"2 232 000,00 ",22.03.2021,31.12.2021,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""УРАЛЬСКАЯ БАЗА АВИАЦИОННОЙ ОХРАНЫ ЛЕСОВ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК""",6674222240,6037007003,05.03.2015,"['180503, ОБЛ ПСКОВСКАЯ, Р-Н ПСКОВСКИЙ, Д ДУБРОВО, УЛ ЛУГОВАЯ, ДОМ 36,']",7-911-3696636,PIK.tender@gmail.com,63.11.13.000,Техническое сопровождение и обслуживание системы видеомониторинга и раннего обнаружения лесных пожаров на территории Свердловской области «Лесохранитель»
3665837473619000040,"1 424 337,50 ",20.05.2019,31.12.2019,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ УСЛУГ""","Общество с ограниченной ответственностью ""Экстрим безопасность"" (ООО ""Экстрим безопасность"")",6658374736,6670366481,03.02.2012,"['620075, Свердловская область, город Екатеринбург, Железнодорожный район, ул. Мамина-Сибиряка, д. 85, оф. 618']",+7(343)2222139,xrm@xrm.ru,62.02.30.000,Техническое сопровождение средств защиты информации
1665901436621000351,"1 471 181,40 ",28.05.2021,20.08.2021,Электронный аукцион,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИКВЕСТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИКВЕСТ"")",6659014366,6686040164,22.01.2014,"['620017, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ ФРОНТОВЫХ БРИГАД, СТР 18, ОФИС 201Ш']",8-343-3001559,Director.ekb@rqst.ru,96.01.12.126,1
2661204921118000655,"2 398 170,00 ",20.08.2018,15.12.2018,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ГОРОДСКАЯ БОЛЬНИЦА ГОРОД КАМЕНСК-УРАЛЬСКИЙ""","ООО ""Парадигма""",6612049211,6674359830,30.11.2005,"['620102, Российская Федерация, Свердловская обл., г. Екатеринбург, ул. Репина, дом 22, помещение 1, ОКАТО: 65401364000']",+7(343)2861457,paradigma2000@mail.ru,32.50.50.000,Интродьюсер Prelude
